timestamp_iso,t_ms,src_ip,src_port,direction,payload
2026-05-12T08:36:24.600,11384.341,10.0.0.10,8888,CC->XPB,HB;SEQ=95;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=27017;E=0;E_CODE=00;RPM=0:34\n
2026-05-12T08:36:24.734,11518.589,10.0.0.11,8888,XPB->CC,STAT;SEQ=28;OUT=000;SUMP=20;SEAL=24:25\n
2026-05-12T08:36:24.849,11633.942,10.0.0.10,8888,CC->XPB,HB;SEQ=96;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=27267;E=0;E_CODE=00;RPM=0:32\n
2026-05-12T08:36:25.100,11884.273,10.0.0.10,8888,CC->XPB,HB;SEQ=97;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=27517;E=0;E_CODE=00;RPM=0:33\n
2026-05-12T08:36:25.350,12134.338,10.0.0.10,8888,CC->XPB,HB;SEQ=98;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=27767;E=0;E_CODE=00;RPM=0:39\n
2026-05-12T08:36:25.599,12383.889,10.0.0.10,8888,CC->XPB,HB;SEQ=99;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=28017;E=0;E_CODE=00;RPM=0:37\n
2026-05-12T08:36:25.737,12521.400,10.0.0.11,8888,XPB->CC,STAT;SEQ=29;OUT=000;SUMP=20;SEAL=24:24\n
2026-05-12T08:36:25.849,12633.862,10.0.0.10,8888,CC->XPB,HB;SEQ=100;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=28267;E=0;E_CODE=00;RPM=0:03\n
2026-05-12T08:36:26.100,12884.578,10.0.0.10,8888,CC->XPB,HB;SEQ=101;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=28517;E=0;E_CODE=00;RPM=0:02\n
2026-05-12T08:36:26.350,13134.292,10.0.0.10,8888,CC->XPB,HB;SEQ=102;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=28767;E=0;E_CODE=00;RPM=0:04\n
2026-05-12T08:36:26.600,13384.291,10.0.0.10,8888,CC->XPB,HB;SEQ=103;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=29017;E=0;E_CODE=00;RPM=0:04\n
2026-05-12T08:36:26.740,13524.459,10.0.0.11,8888,XPB->CC,STAT;SEQ=30;OUT=000;SUMP=20;SEAL=24:2C\n
2026-05-12T08:36:26.850,13634.317,10.0.0.10,8888,CC->XPB,HB;SEQ=104;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=29267;E=0;E_CODE=00;RPM=0:06\n
2026-05-12T08:36:27.100,13884.390,10.0.0.10,8888,CC->XPB,HB;SEQ=105;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=29517;E=0;E_CODE=00;RPM=0:07\n
2026-05-12T08:36:27.350,14134.554,10.0.0.10,8888,CC->XPB,HB;SEQ=106;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=29767;E=0;E_CODE=00;RPM=0:01\n
2026-05-12T08:36:27.600,14384.478,10.0.0.10,8888,CC->XPB,HB;SEQ=107;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=30017;E=0;E_CODE=00;RPM=0:08\n
2026-05-12T08:36:27.744,14529.005,10.0.0.11,8888,XPB->CC,STAT;SEQ=31;OUT=000;SUMP=20;SEAL=24:2D\n
2026-05-12T08:36:27.850,14634.401,10.0.0.10,8888,CC->XPB,HB;SEQ=108;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=30267;E=0;E_CODE=00;RPM=0:02\n
2026-05-12T08:36:28.100,14884.565,10.0.0.10,8888,CC->XPB,HB;SEQ=109;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=30517;E=0;E_CODE=00;RPM=0:03\n
2026-05-12T08:36:28.350,15134.537,10.0.0.10,8888,CC->XPB,HB;SEQ=110;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=30767;E=0;E_CODE=00;RPM=0:0E\n
2026-05-12T08:47:54.319,18.151,10.0.0.11,8888,XPB->CC,STAT;SEQ=715;OUT=000;SUMP=20;SEAL=21:19\n
2026-05-12T08:47:54.450,148.760,10.0.0.10,8888,CC->XPB,HB;SEQ=2854;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=54800;E=0;E_CODE=00;RPM=0:39\n
2026-05-12T08:47:54.699,398.118,10.0.0.10,8888,CC->XPB,HB;SEQ=2855;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=55050;E=0;E_CODE=00;RPM=0:34\n
2026-05-12T08:47:54.950,648.724,10.0.0.10,8888,CC->XPB,HB;SEQ=2856;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=55300;E=0;E_CODE=00;RPM=0:31\n
2026-05-12T08:47:55.200,898.523,10.0.0.10,8888,CC->XPB,HB;SEQ=2857;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=55550;E=0;E_CODE=00;RPM=0:33\n
2026-05-12T08:47:55.322,1020.522,10.0.0.11,8888,XPB->CC,STAT;SEQ=716;OUT=000;SUMP=20;SEAL=21:1A\n
2026-05-12T08:47:55.450,1148.678,10.0.0.10,8888,CC->XPB,HB;SEQ=2858;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=55800;E=0;E_CODE=00;RPM=0:34\n
2026-05-12T08:47:55.700,1398.774,10.0.0.10,8888,CC->XPB,HB;SEQ=2859;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=56050;E=0;E_CODE=00;RPM=0:3B\n
2026-05-12T08:47:55.950,1648.609,10.0.0.10,8888,CC->XPB,HB;SEQ=2860;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=56300;E=0;E_CODE=00;RPM=0:37\n
2026-05-12T08:47:56.200,1898.524,10.0.0.10,8888,CC->XPB,HB;SEQ=2861;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=56550;E=0;E_CODE=00;RPM=0:35\n
2026-05-12T08:47:56.325,2024.301,10.0.0.11,8888,XPB->CC,STAT;SEQ=717;OUT=000;SUMP=20;SEAL=21:1B\n
2026-05-12T08:47:56.450,2148.524,10.0.0.10,8888,CC->XPB,HB;SEQ=2862;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=56800;E=0;E_CODE=00;RPM=0:3E\n
2026-05-12T08:47:56.700,2398.397,10.0.0.10,8888,CC->XPB,HB;SEQ=2863;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=57050;E=0;E_CODE=00;RPM=0:33\n
2026-05-12T08:47:56.950,2648.761,10.0.0.10,8888,CC->XPB,HB;SEQ=2864;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=57300;E=0;E_CODE=00;RPM=0:32\n
2026-05-12T08:47:57.200,2898.739,10.0.0.10,8888,CC->XPB,HB;SEQ=2865;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=57550;E=0;E_CODE=00;RPM=0:30\n
2026-05-12T08:47:57.329,3027.388,10.0.0.11,8888,XPB->CC,STAT;SEQ=718;OUT=000;SUMP=20;SEAL=21:14\n
2026-05-12T08:47:57.450,3148.501,10.0.0.10,8888,CC->XPB,HB;SEQ=2866;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=57800;E=0;E_CODE=00;RPM=0:3B\n
2026-05-12T08:47:57.699,3398.132,10.0.0.10,8888,CC->XPB,HB;SEQ=2867;STATE=IDLE;STEP=1;LOOP=1/1;SW_AGE=58050;E=0;E_CODE=00;RPM=0:38\n
