# rig_trace started 2026-05-12T15:20:26.945
[rig_trace] start 2026-05-12T15:20:26.945  cc=COM8 xpb=- udp=8888
[+   5679.3 ms] [CC ] STATE -> E-STOP
[+   5679.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5679.3 ms] [CC ] STATE -> E-STOP
[+   5881.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5881.3 ms] [CC ] STATE -> E-STOP
[+   5881.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5881.3 ms] [CC ] STATE -> E-STOP
[+   5881.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5881.3 ms] [CC ] STATE -> E-STOP
[+   5881.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5881.3 ms] [CC ] STATE -> E-STOP
[+   5881.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   5881.4 ms] [CC ] STATE -> E-STOP
[+   6083.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6083.4 ms] [CC ] STATE -> E-STOP
[+   6083.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6083.5 ms] [CC ] STATE -> E-STOP
[+   6083.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6083.5 ms] [CC ] STATE -> E-STOP
[+   6083.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6083.5 ms] [CC ] STATE -> E-STOP
[+   6083.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6083.5 ms] [CC ] STATE -> E-STOP
[+   6286.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6286.1 ms] [CC ] STATE -> E-STOP
[+   6286.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6286.1 ms] [CC ] STATE -> E-STOP
[+   6286.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6286.1 ms] [CC ] STATE -> E-STOP
[+   6286.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6286.1 ms] [CC ] STATE -> E-STOP
[+   6286.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6286.1 ms] [CC ] STATE -> E-STOP
[+   6487.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6487.8 ms] [CC ] STATE -> E-STOP
[+   6487.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6487.9 ms] [CC ] STATE -> E-STOP
[+   6487.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6487.9 ms] [CC ] STATE -> E-STOP
[+   6487.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6487.9 ms] [CC ] STATE -> E-STOP
[+   6487.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6487.9 ms] [CC ] STATE -> E-STOP
[+   6689.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6689.8 ms] [CC ] STATE -> E-STOP
[+   6689.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6689.8 ms] [CC ] STATE -> E-STOP
[+   6689.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6689.8 ms] [CC ] STATE -> E-STOP
[+   6689.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6689.8 ms] [CC ] STATE -> E-STOP
[+   6689.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6689.8 ms] [CC ] STATE -> E-STOP
[+   6892.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6892.0 ms] [CC ] STATE -> E-STOP
[+   6892.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6892.0 ms] [CC ] STATE -> E-STOP
[+   6892.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6892.0 ms] [CC ] STATE -> E-STOP
[+   6892.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6892.0 ms] [CC ] STATE -> E-STOP
[+   6892.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   6892.0 ms] [CC ] STATE -> E-STOP
[+   7095.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7095.0 ms] [CC ] STATE -> E-STOP
[+   7095.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7095.0 ms] [CC ] STATE -> E-STOP
[+   7095.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7095.0 ms] [CC ] STATE -> E-STOP
[+   7095.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7095.0 ms] [CC ] STATE -> E-STOP
[+   7095.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7095.0 ms] [CC ] STATE -> E-STOP
[+   7296.7 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7296.8 ms] [CC ] STATE -> E-STOP
[+   7296.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7296.8 ms] [CC ] STATE -> E-STOP
[+   7296.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7296.8 ms] [CC ] STATE -> E-STOP
[+   7296.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7296.8 ms] [CC ] STATE -> E-STOP
[+   7296.8 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7296.8 ms] [CC ] STATE -> E-STOP
[+   7497.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7497.4 ms] [CC ] STATE -> E-STOP
[+   7497.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7497.4 ms] [CC ] STATE -> E-STOP
[+   7497.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7497.4 ms] [CC ] STATE -> E-STOP
[+   7497.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7497.4 ms] [CC ] STATE -> E-STOP
[+   7497.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7497.4 ms] [CC ] STATE -> E-STOP
[+   7697.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7697.9 ms] [CC ] STATE -> E-STOP
[+   7697.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7697.9 ms] [CC ] STATE -> E-STOP
[+   7697.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7697.9 ms] [CC ] STATE -> E-STOP
[+   7697.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7697.9 ms] [CC ] STATE -> E-STOP
[+   7697.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7697.9 ms] [CC ] STATE -> E-STOP
[+   7903.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7903.3 ms] [CC ] STATE -> E-STOP
[+   7903.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7903.3 ms] [CC ] STATE -> E-STOP
[+   7903.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7903.3 ms] [CC ] STATE -> E-STOP
[+   7903.3 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7903.4 ms] [CC ] STATE -> E-STOP
[+   7903.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   7903.4 ms] [CC ] STATE -> E-STOP
[+   8104.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8104.9 ms] [CC ] STATE -> E-STOP
[+   8104.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8104.9 ms] [CC ] STATE -> E-STOP
[+   8104.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8104.9 ms] [CC ] STATE -> E-STOP
[+   8104.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8104.9 ms] [CC ] STATE -> E-STOP
[+   8104.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8104.9 ms] [CC ] STATE -> E-STOP
[+   8307.3 ms] [CC ] E-STOP: XPB stale (mask expired)
